source_repository	source_repository_url	source_branch	source_head	source_path	source_commit	source_blob_oid	source_hash	normalized_source_hash	destination_existing_path	destination_hash	canonical_path	canonical_hash	normalized_canonical_hash	disposition	aliases	relationship	artifact_kind	notes
dongxuelian2/strict-layer-proof-research	https://github.com/dongxuelian2/strict-layer-proof-research	main	912fb4b67419d69c8c7d805b7fd2fcadd26e9a7a	.github/workflows/import-strict-layer.yml	54aba05	f5faa40da1ae9807774589eec6ef93bec9560df4	700b12d2eeaf3140a9c34bbbb84fb7aa372f758b89d2fac8be1fd8e425cc306b	700b12d2eeaf3140a9c34bbbb84fb7aa372f758b89d2fac8be1fd8e425cc306b			research/archive/strict-layer-proof-research/history-only/.github/workflows/import-strict-layer.yml	700b12d2eeaf3140a9c34bbbb84fb7aa372f758b89d2fac8be1fd8e425cc306b	700b12d2eeaf3140a9c34bbbb84fb7aa372f758b89d2fac8be1fd8e425cc306b	generated-obsolete	.github/workflows/import-strict-layer.yml	history-only	overview	Deleted from source main before migration; byte-preserved under history-only archive and reachable from the imported source commit graph. Kind is a navigation label based on file type, path, and title; it does not upgrade evidence.
dongxuelian2/strict-layer-proof-research	https://github.com/dongxuelian2/strict-layer-proof-research	main	912fb4b67419d69c8c7d805b7fd2fcadd26e9a7a	00-foundation/archive/strict_layer_unified_exact_lift_campaign_initial.md	912fb4b67419d69c8c7d805b7fd2fcadd26e9a7a	0d15898e983cb405354e5d11b4e23ae7c5b33e0a	7c2441534e71d72e010631bd6053f42bd34d3b0d21d3ee1ec4c8e1f33747697e	f7924acf9aa0bef97026deb55708ccc7c08ca36f0e54d056f8469869a7873dd0	research/strict/foundation/archive/strict_layer_unified_exact_lift_campaign_initial.md	f7924acf9aa0bef97026deb55708ccc7c08ca36f0e54d056f8469869a7873dd0	research/foundations/archive/unified-exact-lift-initial.md	7c2441534e71d72e010631bd6053f42bd34d3b0d21d3ee1ec4c8e1f33747697e	f7924acf9aa0bef97026deb55708ccc7c08ca36f0e54d056f8469869a7873dd0	canonical	00-foundation/archive/strict_layer_unified_exact_lift_campaign_initial.md;archive-by-series/10-strict-layer-core/strict_layer_unified_exact_lift_campaign.md	exact-duplicate	attempt	Exact byte duplicate of the canonical target; this source path is retained as provenance and no second canonical copy is created. Kind is a navigation label based on file type, path, and title; it does not upgrade evidence.
dongxuelian2/strict-layer-proof-research	https://github.com/dongxuelian2/strict-layer-proof-research	main	912fb4b67419d69c8c7d805b7fd2fcadd26e9a7a	00-foundation/audit_response.md	912fb4b67419d69c8c7d805b7fd2fcadd26e9a7a	4ad31a766689457fd487ea0eed2c3efd24410e7e	4b58320d5a0adcdb4e78f8c6b19e7dc18e25198a9b7d2357cbbb1786f5da783d	e518ae81d04751dddcc14af232a1ce9f88af4e2dd04947f832b4f6667e7e35f5	research/strict/foundation/audit_response.md	e518ae81d04751dddcc14af232a1ce9f88af4e2dd04947f832b4f6667e7e35f5	research/exact-lift/audit-response.md	4b58320d5a0adcdb4e78f8c6b19e7dc18e25198a9b7d2357cbbb1786f5da783d	e518ae81d04751dddcc14af232a1ce9f88af4e2dd04947f832b4f6667e7e35f5	canonical	00-foundation/audit_response.md	exact-duplicate	attempt	Exact byte duplicate of the canonical target; this source path is retained as provenance and no second canonical copy is created. Kind is a navigation label based on file type, path, and title; it does not upgrade evidence.
dongxuelian2/strict-layer-proof-research	https://github.com/dongxuelian2/strict-layer-proof-research	main	912fb4b67419d69c8c7d805b7fd2fcadd26e9a7a	00-foundation/current_research_status_v3.md	912fb4b67419d69c8c7d805b7fd2fcadd26e9a7a	8471bbecef38f281daf7a30773f069e8c7730d76	c043eb4fd099bd51706c1846d5b51d2187e0dcc0577bef645e7755590186dfd0	20099705089442b7cee87e2340ed23fe86d0046f7cca1b53aa94b57fb8e41528	reports/strict/current_research_status_v3.md	20099705089442b7cee87e2340ed23fe86d0046f7cca1b53aa94b57fb8e41528	research/exact-lift/status.md	c043eb4fd099bd51706c1846d5b51d2187e0dcc0577bef645e7755590186dfd0	20099705089442b7cee87e2340ed23fe86d0046f7cca1b53aa94b57fb8e41528	canonical	00-foundation/current_research_status_v3.md	exact-duplicate	attempt	Exact byte duplicate of the canonical target; this source path is retained as provenance and no second canonical copy is created. Kind is a navigation label based on file type, path, and title; it does not upgrade evidence.
dongxuelian2/strict-layer-proof-research	https://github.com/dongxuelian2/strict-layer-proof-research	main	912fb4b67419d69c8c7d805b7fd2fcadd26e9a7a	00-foundation/exact_lift_research_synthesis_2026-08-10.md	912fb4b67419d69c8c7d805b7fd2fcadd26e9a7a	f62ad919fe8672bb4fc7559ab02e33276ba3c952	9191730368c30e62f8d2afba0e727e9266d6aed2f84fd83d917ccadffb98e608	165bf9db32d39cf3841de3fec1c0413cd8097701a520cd7fc7b4098ad50748a1	research/strict/foundation/exact_lift_research_synthesis_2026-08-10.md	165bf9db32d39cf3841de3fec1c0413cd8097701a520cd7fc7b4098ad50748a1	research/exact-lift/exact-lift-research-synthesis-2026-08-10.md	9191730368c30e62f8d2afba0e727e9266d6aed2f84fd83d917ccadffb98e608	165bf9db32d39cf3841de3fec1c0413cd8097701a520cd7fc7b4098ad50748a1	canonical	00-foundation/exact_lift_research_synthesis_2026-08-10.md	exact-duplicate	attempt	Exact byte duplicate of the canonical target; this source path is retained as provenance and no second canonical copy is created. Kind is a navigation label based on file type, path, and title; it does not upgrade evidence.
dongxuelian2/strict-layer-proof-research	https://github.com/dongxuelian2/strict-layer-proof-research	main	912fb4b67419d69c8c7d805b7fd2fcadd26e9a7a	00-foundation/proved_results_index_v2.md	912fb4b67419d69c8c7d805b7fd2fcadd26e9a7a	168193b100ae8d4e0b14b96dd6c507b362685163	fff157e9a04c8bd0a5e7b062e3e1fae659e56c84b3a69a28ed4fd7891487dc98	a103aa10d65ce6ef326f770f477a59317a7f772f9fc4752c795dea0dd1c66f4f	reports/strict/proved_results_index_v2.md	a103aa10d65ce6ef326f770f477a59317a7f772f9fc4752c795dea0dd1c66f4f	research/foundations/archive/theorem-index-legacy.md	fff157e9a04c8bd0a5e7b062e3e1fae659e56c84b3a69a28ed4fd7891487dc98	a103aa10d65ce6ef326f770f477a59317a7f772f9fc4752c795dea0dd1c66f4f	canonical	00-foundation/proved_results_index_v2.md	exact-duplicate	attempt	Exact byte duplicate of the canonical target; this source path is retained as provenance and no second canonical copy is created. Kind is a navigation label based on file type, path, and title; it does not upgrade evidence.
dongxuelian2/strict-layer-proof-research	https://github.com/dongxuelian2/strict-layer-proof-research	main	912fb4b67419d69c8c7d805b7fd2fcadd26e9a7a	00-foundation/proved_results_index_v3.md	912fb4b67419d69c8c7d805b7fd2fcadd26e9a7a	3926e08fa0e21306a596e4c1909964a9442e34da	c1eb0aa2fb8fe3db25ac3ffa4a589793ecb13d89f44031793261e63873c8f9ec	e2fa484d558e61808118475b6d2572369f066aa96f75c2983df3144c0251161e	reports/global/proved_results_index_v3.md	e2fa484d558e61808118475b6d2572369f066aa96f75c2983df3144c0251161e	research/foundations/results/theorem-index.md	c1eb0aa2fb8fe3db25ac3ffa4a589793ecb13d89f44031793261e63873c8f9ec	e2fa484d558e61808118475b6d2572369f066aa96f75c2983df3144c0251161e	canonical	00-foundation/proved_results_index_v3.md	exact-duplicate	attempt	Exact byte duplicate of the canonical target; this source path is retained as provenance and no second canonical copy is created. Kind is a navigation label based on file type, path, and title; it does not upgrade evidence.
dongxuelian2/strict-layer-proof-research	https://github.com/dongxuelian2/strict-layer-proof-research	main	912fb4b67419d69c8c7d805b7fd2fcadd26e9a7a	00-foundation/proved_results_report_v2.md	912fb4b67419d69c8c7d805b7fd2fcadd26e9a7a	7fdee0b7733ea545c8c1c35d761fb6a9058f4f2f	8c7e9b4b6c458ba4379999c9b729eb4cbdd6afe620c3ec1299130d4b11b05c39	68dbd892a59f28c7a86d2d561f3595f8d52d14672ce20359095a9b7689c16929	reports/strict/proved_results_report_v2.md	68dbd892a59f28c7a86d2d561f3595f8d52d14672ce20359095a9b7689c16929	research/foundations/archive/proved-results-legacy.md	8c7e9b4b6c458ba4379999c9b729eb4cbdd6afe620c3ec1299130d4b11b05c39	68dbd892a59f28c7a86d2d561f3595f8d52d14672ce20359095a9b7689c16929	canonical	00-foundation/proved_results_report_v2.md	exact-duplicate	attempt	Exact byte duplicate of the canonical target; this source path is retained as provenance and no second canonical copy is created. Kind is a navigation label based on file type, path, and title; it does not upgrade evidence.
dongxuelian2/strict-layer-proof-research	https://github.com/dongxuelian2/strict-layer-proof-research	main	912fb4b67419d69c8c7d805b7fd2fcadd26e9a7a	00-foundation/proved_results_report_v3.md	912fb4b67419d69c8c7d805b7fd2fcadd26e9a7a	408ee052831fdf81ce8aa028d8229a819c6e64d7	d3dc278b86488a3dfd70c3756e60ef4cde3c3e052622f149843a0fc0be4f5fb8	d37c0d1cc0bff23d43ee5301a04046745ce5e0ee2fb671791868ddcdee5388a6	reports/global/proved_results_report_v3.md	d37c0d1cc0bff23d43ee5301a04046745ce5e0ee2fb671791868ddcdee5388a6	research/foundations/results/proved-results.md	d3dc278b86488a3dfd70c3756e60ef4cde3c3e052622f149843a0fc0be4f5fb8	d37c0d1cc0bff23d43ee5301a04046745ce5e0ee2fb671791868ddcdee5388a6	canonical	00-foundation/proved_results_report_v3.md	exact-duplicate	attempt	Exact byte duplicate of the canonical target; this source path is retained as provenance and no second canonical copy is created. Kind is a navigation label based on file type, path, and title; it does not upgrade evidence.
dongxuelian2/strict-layer-proof-research	https://github.com/dongxuelian2/strict-layer-proof-research	main	912fb4b67419d69c8c7d805b7fd2fcadd26e9a7a	00-foundation/provenance/MISSING_ARTIFACTS_2026-08-16.md	912fb4b67419d69c8c7d805b7fd2fcadd26e9a7a	31deb1800bf3833bb5e50f8d99fa68a6657e9466	1f6cad1181c6881450f0652bb28500e2688c2fd70693af47b63b01ec71afd58d	561757e837b359b8ab81f190bfcf2b903edd6366ce885026b07c05fe172e6ac4			research/archive/strict-layer-proof-research/00-foundation/provenance/MISSING_ARTIFACTS_2026-08-16.md	1f6cad1181c6881450f0652bb28500e2688c2fd70693af47b63b01ec71afd58d	561757e837b359b8ab81f190bfcf2b903edd6366ce885026b07c05fe172e6ac4	archived	00-foundation/provenance/MISSING_ARTIFACTS_2026-08-16.md;MISSING_ARTIFACTS.md	source-only	overview	Source-only bytes preserved once at the canonical target under the frozen archive boundary; original source path remains an alias. Kind is a navigation label based on file type, path, and title; it does not upgrade evidence.
dongxuelian2/strict-layer-proof-research	https://github.com/dongxuelian2/strict-layer-proof-research	main	912fb4b67419d69c8c7d805b7fd2fcadd26e9a7a	00-foundation/strict_layer_final_campaign.md	912fb4b67419d69c8c7d805b7fd2fcadd26e9a7a	5b31d3c31c5ad8c70d64372e65942c4dc00d2301	ab6dcbb7e9563535480efcb7684efd6f45ebb4c911b9d39f858d0e7b0295829b	cd717933898505fdeecc7cd664cb357d63b2cd0eb3db15498831cf50af31d834	research/strict/foundation/strict_layer_final_campaign.md	cd717933898505fdeecc7cd664cb357d63b2cd0eb3db15498831cf50af31d834	research/exact-lift/final-state.md	ab6dcbb7e9563535480efcb7684efd6f45ebb4c911b9d39f858d0e7b0295829b	cd717933898505fdeecc7cd664cb357d63b2cd0eb3db15498831cf50af31d834	canonical	00-foundation/strict_layer_final_campaign.md	exact-duplicate	attempt	Exact byte duplicate of the canonical target; this source path is retained as provenance and no second canonical copy is created. Kind is a navigation label based on file type, path, and title; it does not upgrade evidence.
dongxuelian2/strict-layer-proof-research	https://github.com/dongxuelian2/strict-layer-proof-research	main	912fb4b67419d69c8c7d805b7fd2fcadd26e9a7a	00-foundation/strict_layer_round1.md	912fb4b67419d69c8c7d805b7fd2fcadd26e9a7a	307960b750128eb638dcbd2786502896bfddff64	331aaf0a95c1ef31774f246089f03755e8e7d94b3460e9ab104fe657ec01f721	83a05718618e224c951c3c16493bb5a1ad7f3d6dce2c7a47e30b4c4501e21f17	research/strict/foundation/strict_layer_round1.md	83a05718618e224c951c3c16493bb5a1ad7f3d6dce2c7a47e30b4c4501e21f17	research/exact-lift/initial-route.md	331aaf0a95c1ef31774f246089f03755e8e7d94b3460e9ab104fe657ec01f721	83a05718618e224c951c3c16493bb5a1ad7f3d6dce2c7a47e30b4c4501e21f17	canonical	00-foundation/strict_layer_round1.md	exact-duplicate	attempt	Exact byte duplicate of the canonical target; this source path is retained as provenance and no second canonical copy is created. Kind is a navigation label based on file type, path, and title; it does not upgrade evidence.
dongxuelian2/strict-layer-proof-research	https://github.com/dongxuelian2/strict-layer-proof-research	main	912fb4b67419d69c8c7d805b7fd2fcadd26e9a7a	00-foundation/strict_layer_unified_exact_lift_campaign.md	912fb4b67419d69c8c7d805b7fd2fcadd26e9a7a	4df55726dbc34413547df4373c70f5ff2336feaa	0e0fdbf8848c3674410c195139e563633727d43d5e9b4a65e08c99036c34a41b	f0d26023631a72116037e9d12ccd6568a58a831a5672e6329d3128793225594e	research/strict/foundation/strict_layer_unified_exact_lift_campaign.md	f0d26023631a72116037e9d12ccd6568a58a831a5672e6329d3128793225594e	research/exact-lift/unified-exact-lift.md	0e0fdbf8848c3674410c195139e563633727d43d5e9b4a65e08c99036c34a41b	f0d26023631a72116037e9d12ccd6568a58a831a5672e6329d3128793225594e	canonical	00-foundation/strict_layer_unified_exact_lift_campaign.md;archive-by-series/10-strict-layer-core/strict_layer_unified_exact_lift_campaign(1).md	exact-duplicate	attempt	Exact byte duplicate of the canonical target; this source path is retained as provenance and no second canonical copy is created. Kind is a navigation label based on file type, path, and title; it does not upgrade evidence.
dongxuelian2/strict-layer-proof-research	https://github.com/dongxuelian2/strict-layer-proof-research	main	912fb4b67419d69c8c7d805b7fd2fcadd26e9a7a	10-backward-global/strict_layer_backward_algebraic_denominator_interface.md	912fb4b67419d69c8c7d805b7fd2fcadd26e9a7a	d27f01175cb6d2433f08881ed04aee5bce0a09d4	f76a3d8ff8115c30546b78b05f123060ef9bcf89be0540f078f635cfdee6d1fd	c913dc1dbf8dae32c17b2a176a76f9dca1869bd41bd6cba9c60917cd5322650b	research/strict/backward-global/strict_layer_backward_algebraic_denominator_interface.md	c913dc1dbf8dae32c17b2a176a76f9dca1869bd41bd6cba9c60917cd5322650b	research/exact-lift/backward/backward-algebraic-denominator-interface.md	f76a3d8ff8115c30546b78b05f123060ef9bcf89be0540f078f635cfdee6d1fd	c913dc1dbf8dae32c17b2a176a76f9dca1869bd41bd6cba9c60917cd5322650b	canonical	10-backward-global/strict_layer_backward_algebraic_denominator_interface.md;archive-by-series/10-strict-layer-core/strict_layer_backward_algebraic_denominator_interface.md	exact-duplicate	attempt	Exact byte duplicate of the canonical target; this source path is retained as provenance and no second canonical copy is created. Kind is a navigation label based on file type, path, and title; it does not upgrade evidence.
